parametro_nombre,parametro_id,valor,unidad,fecha_desde_utc,fecha_desde_local,fecha_hasta_utc,fecha_hasta_local,cobertura_porcentaje,sensor_id,localidad_id,localidad_nombre,localidad_buscada,ciudad,coordenadas_lat,coordenadas_lon
so2,6,1.73,µg/m³,2020-03-31T19:00:00Z,2020-03-31T16:00:00-03:00,2020-03-31T20:00:00Z,2020-03-31T17:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,1.51,µg/m³,2020-03-31T20:00:00Z,2020-03-31T17:00:00-03:00,2020-03-31T21:00:00Z,2020-03-31T18:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,1.5,µg/m³,2020-03-31T21:00:00Z,2020-03-31T18:00:00-03:00,2020-03-31T22:00:00Z,2020-03-31T19:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,1.31,µg/m³,2020-03-31T22:00:00Z,2020-03-31T19:00:00-03:00,2020-03-31T23:00:00Z,2020-03-31T20:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,1.41,µg/m³,2020-03-31T23:00:00Z,2020-03-31T20:00:00-03:00,2020-04-01T00:00:00Z,2020-03-31T21:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,2.52,µg/m³,2020-04-01T00:00:00Z,2020-03-31T21:00:00-03:00,2020-04-01T01:00:00Z,2020-03-31T22:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,3.54,µg/m³,2020-04-01T01:00:00Z,2020-03-31T22:00:00-03:00,2020-04-01T02:00:00Z,2020-03-31T23:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,4.87,µg/m³,2020-04-01T02:00:00Z,2020-03-31T23:00:00-03:00,2020-04-01T03:00:00Z,2020-04-01T00:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,18.54,µg/m³,2020-04-01T03:00:00Z,2020-04-01T00:00:00-03:00,2020-04-01T04:00:00Z,2020-04-01T01:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,14.88,µg/m³,2020-04-01T04:00:00Z,2020-04-01T01:00:00-03:00,2020-04-01T05:00:00Z,2020-04-01T02:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,12.76,µg/m³,2020-04-01T05:00:00Z,2020-04-01T02:00:00-03:00,2020-04-01T06:00:00Z,2020-04-01T03:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,19.88,µg/m³,2020-04-01T06:00:00Z,2020-04-01T03:00:00-03:00,2020-04-01T07:00:00Z,2020-04-01T04:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,26.03,µg/m³,2020-04-01T07:00:00Z,2020-04-01T04:00:00-03:00,2020-04-01T08:00:00Z,2020-04-01T05:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,22.21,µg/m³,2020-04-01T08:00:00Z,2020-04-01T05:00:00-03:00,2020-04-01T09:00:00Z,2020-04-01T06:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,19.08,µg/m³,2020-04-01T09:00:00Z,2020-04-01T06:00:00-03:00,2020-04-01T10:00:00Z,2020-04-01T07:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
so2,6,40.89,µg/m³,2020-04-01T10:00:00Z,2020-04-01T07:00:00-03:00,2020-04-01T11:00:00Z,2020-04-01T08:00:00-03:00,100.0,,356,Bocatoma,Bocatoma,,-36.803034,-73.120527
