location_name,date_from_utc,co,no2,o3,pm10,pm25,so2
Cauquenes,2017-01-30 13:00:00+00:00,,,,,,2.7999999999999994
Cauquenes,2017-01-30 14:00:00+00:00,,,,,,3.0400000000000005
Cauquenes,2017-08-28 20:00:00+00:00,,,,,,2.74
Cauquenes,2017-08-28 21:00:00+00:00,,,,,,2.54
Cauquenes,2017-08-28 22:00:00+00:00,,,,,,2.39
Cauquenes,2017-08-28 23:00:00+00:00,,,,,,2.45
Cauquenes,2017-08-29 00:00:00+00:00,,,,,,2.04
Cauquenes,2017-08-29 02:00:00+00:00,,,,,,2.0
Cauquenes,2017-08-29 03:00:00+00:00,,,,,,2.11
Cauquenes,2017-08-29 04:00:00+00:00,,,,,,1.97
Cauquenes,2017-08-29 05:00:00+00:00,,,,,,2.13
Cauquenes,2017-08-29 06:00:00+00:00,,,,,,2.32
Cauquenes,2017-08-29 07:00:00+00:00,,,,,,2.38
Cauquenes,2017-08-29 08:00:00+00:00,,,,,,2.21
Cauquenes,2017-08-29 09:00:00+00:00,,,,,,2.42
Cauquenes,2017-08-29 10:00:00+00:00,,,,,,2.44
Cauquenes,2017-08-29 11:00:00+00:00,,,,,,2.7900000000000005
Cauquenes,2017-08-29 12:00:00+00:00,,,,,,3.2000000000000006
Cauquenes,2017-08-29 13:00:00+00:00,,,,,,3.01
Cauquenes,2017-08-29 14:00:00+00:00,,,,,,3.27
Cauquenes,2017-08-29 15:00:00+00:00,,,,,,4.04
Cauquenes,2017-08-29 17:00:00+00:00,,,,,,3.5499999999999994
Cauquenes,2017-08-29 18:00:00+00:00,,,,,,3.56
Cauquenes,2017-08-29 19:00:00+00:00,,,,,,3.56
Cauquenes,2017-08-29 20:00:00+00:00,,,,,,2.91
Cauquenes,2017-08-29 21:00:00+00:00,,,,,,2.56
Cauquenes,2017-08-29 22:00:00+00:00,,,,,,2.45
Cauquenes,2017-08-29 23:00:00+00:00,,,,,,2.51
Cauquenes,2017-08-30 00:00:00+00:00,,,,,,2.35
Cauquenes,2017-08-30 01:00:00+00:00,,,,,,2.34
Cauquenes,2017-08-30 02:00:00+00:00,,,,,,2.56
Cauquenes,2017-08-30 03:00:00+00:00,,,,,,2.59
Cauquenes,2017-08-30 04:00:00+00:00,,,,,,3.0400000000000005
Cauquenes,2017-08-30 05:00:00+00:00,,,,,,3.36
Cauquenes,2017-08-30 06:00:00+00:00,,,,,,2.91
Cauquenes,2017-08-30 07:00:00+00:00,,,,,,2.97
Cauquenes,2017-08-30 08:00:00+00:00,,,,,,2.55
Cauquenes,2017-08-30 09:00:00+00:00,,,,,,2.36
Cauquenes,2017-08-30 10:00:00+00:00,,,,,,2.45
Cauquenes,2017-08-30 11:00:00+00:00,,,,,,3.03
Cauquenes,2017-08-30 12:00:00+00:00,,,,,,3.8800000000000003
Cauquenes,2017-08-30 13:00:00+00:00,,,,,,43.6
Cauquenes,2017-08-30 14:00:00+00:00,,,,,,33.24
